Year,5,4,3,2,1,Mean,3+,2-,Total # Students,Major Revision
2020,0.072,0.32,0.365,0.209,0.036,,0.757,0.245,,False
2019,0.101,0.225,0.375,0.256,0.043,,0.701,0.299,,False
2018,0.114,0.236,0.342,0.263,0.045,,0.692,0.308,,False
2017,0.121,0.221,0.376,0.251,0.031,,0.718,0.282,,False
2016,0.132,0.258,0.357,0.223,0.03,,0.747,0.253,,False
2015,0.123,0.236,0.362,0.246,0.033,,0.721,0.279,,False
2014,0.11,0.197,0.368,0.277,0.048,,0.675,0.325,,False
2013,0.109,0.194,0.375,0.264,0.058,,0.678,0.322,,False
2012,0.104,0.204,0.345,0.286,0.061,,0.653,0.347,,False
2011,0.095,0.178,0.335,0.321,0.071,,0.608,0.392,,False
