Year,5,4,3,2,1,Mean,3+,2-,Total # Students,Major Revision
2020,0.156,0.246,0.277,0.214,0.107,,0.679,0.321,,False
2019,0.12,0.25,0.269,0.244,0.117,,0.639,0.361,,False
2018,0.128,0.243,0.276,0.255,0.098,,0.647,0.353,,False
2017,0.11,0.231,0.273,0.262,0.124,,0.614,0.386,,False
2016,0.111,0.226,0.277,0.276,0.11,,0.614,0.386,,True
2015,0.101,0.205,0.271,0.204,0.219,,0.577,0.423,,False
2014,0.122,0.204,0.272,0.187,0.215,,0.598,0.402,,False
2013,0.119,0.215,0.275,0.191,0.2,,0.609,0.391,,False
2012,0.124,0.224,0.251,0.187,0.214,2.86,0.599,0.401,22650,False
2011,0.122,0.218,0.265,0.19,0.205,,0.605,0.395,,False
