Year,5,4,3,2,1,Mean,3+,2-,Total # Students,Major Revision
2020,0.094,0.225,0.366,0.242,0.073,,0.685,0.315,,False
2019,0.071,0.221,0.354,0.267,0.087,,0.646,0.354,,False
2018,0.071,0.215,0.329,0.285,0.1,,0.615,0.385,,False
2017,0.062,0.209,0.367,0.278,0.084,,0.638,0.362,,False
2016,0.063,0.206,0.336,0.292,0.103,,0.605,0.395,,False
2015,0.062,0.22,0.359,0.276,0.083,,0.641,0.359,,False
2014,0.065,0.222,0.351,0.274,0.088,,0.638,0.362,,False
2013,0.054,0.214,0.363,0.295,0.074,,0.631,0.369,,True
2012,0.194,0.169,0.143,0.146,0.348,,0.506,0.494,,False
2011,0.185,0.165,0.152,0.147,0.351,,0.502,0.498,,False
