Year,5,4,3,2,1,Mean,3+,2-,Total # Students,Major Revision
2020,0.19,0.204,0.205,0.241,0.16,,0.599,0.401,,False
2019,0.189,0.188,0.206,0.234,0.183,,0.583,0.417,,False
2018,0.19,0.173,0.212,0.224,0.201,,0.575,0.425,,False
2017,0.186,0.181,0.21,0.219,0.204,,0.577,0.423,,True
2016,0.244,0.174,0.176,0.097,0.309,,0.594,0.406,,False
2015,0.213,0.171,0.187,0.105,0.324,,0.571,0.429,,False
2014,0.243,0.167,0.177,0.108,0.305,,0.587,0.413,,False
2013,0.238,0.18,0.174,0.112,0.296,,0.592,0.408,,False
2012,0.249,0.169,0.173,0.103,0.306,,0.591,0.409,,False
2011,0.21,0.163,0.185,0.108,0.334,,0.558,0.442,,False
