Year,5,4,3,2,1,Mean,3+,2-,Total # Students,Major Revision
2020,0.104,0.182,0.264,0.238,0.211,,0.55,0.449,,False
2019,0.107,0.162,0.277,0.236,0.218,,0.546,0.454,,False
2018,0.126,0.173,0.25,0.241,0.21,,0.549,0.451,,False
2017,0.092,0.157,0.261,0.27,0.22,,0.51,0.49,,False
2016,0.097,0.151,0.275,0.253,0.224,,0.523,0.477,,False
2015,0.084,0.152,0.281,0.255,0.228,,0.517,0.483,,False
2014,0.101,0.166,0.257,0.258,0.218,,0.524,0.476,,True
2013,0.182,0.213,0.19,0.151,0.264,,0.585,0.415,,False
2012,0.153,0.191,0.202,0.15,0.304,,0.546,0.454,,False
2011,0.162,0.185,0.196,0.148,0.309,,0.543,0.457,,False
