Year,5,4,3,2,1,Mean,3+,2-,Total # Students,Major Revision
2020,0.553,0.155,0.178,0.052,0.062,,0.886,0.114,,False
2019,0.572,0.148,0.163,0.046,0.071,,0.883,0.117,,False
2018,0.658,0.117,0.133,0.039,0.053,,0.908,0.092,,False
2017,0.684,0.113,0.125,0.033,0.045,,0.922,0.078,,False
2016,0.621,0.166,0.147,0.027,0.039,,0.934,0.066,,False
2015,0.652,0.154,0.121,0.033,0.04,,0.927,0.073,,False
2014,0.681,0.138,0.123,0.031,0.027,,0.942,0.058,,False
2013,0.27,0.2,0.305,0.102,0.123,,0.775,0.225,,False
2012,0.291,0.196,0.303,0.098,0.122,,0.79,0.22,,False
2011,0.732,0.135,0.088,0.021,0.024,,0.955,0.045,,False
