Year,5,4,3,2,1,Mean,3+,2-,Total # Students,Major Revision
2020,0.243,0.273,0.184,0.173,0.127,,0.7,0.3,,False
2019,0.222,0.248,0.192,0.187,0.15,,0.662,0.337,,False
2018,0.206,0.225,0.198,0.209,0.162,,0.629,0.371,,False
2017,0.237,0.247,0.205,0.178,0.133,,0.689,0.311,,False
2016,0.206,0.212,0.204,0.215,0.163,,0.622,0.378,,False
2015,0.149,0.198,0.217,0.229,0.207,,0.564,0.436,,False
2014,0.196,0.237,0.188,0.219,0.16,,0.621,0.379,,False
2013,0.187,0.21,0.198,0.23,0.175,,0.595,0.405,,False
2012,0.191,0.237,0.186,0.21,0.176,,0.614,0.386,,False
2011,0.173,0.217,0.203,0.216,0.191,,0.593,0.407,,False
