Year,5,4,3,2,1,Mean,3+,2-,Total # Students,Major Revision
2020,0.252,0.213,0.228,0.129,0.178,,0.693,0.307,,False
2019,0.27,0.221,0.208,0.118,0.183,,0.699,0.301,,False
2018,0.247,0.213,0.217,0.118,0.205,,0.677,0.323,,False
2017,0.244,0.209,0.219,0.115,0.213,,0.672,0.328,,False
2016,0.207,0.204,0.232,0.125,0.232,,0.643,0.357,,False
2015,0.244,0.246,0.153,0.071,0.286,,0.643,0.357,,False
2014,0.209,0.23,0.169,0.077,0.315,,0.608,0.392,,False
2013,0.269,0.267,0.14,0.069,0.255,,0.676,0.324,,False
2012,0.233,0.242,0.156,0.078,0.291,,0.631,0.369,,False
2011,0.248,0.25,0.142,0.08,0.28,,0.64,0.36,,False
