Year,5,4,3,2,1,Mean,3+,2-,Total # Students,Major Revision
2020,0.155,0.403,0.333,0.098,0.012,,0.891,0.11,,False
2019,0.208,0.334,0.369,0.078,0.011,,0.911,0.089,,False
2018,0.224,0.318,0.355,0.09,0.013,,0.897,0.103,,False
2017,0.219,0.278,0.359,0.128,0.016,,0.856,0.144,,False
2016,0.168,0.272,0.389,0.147,0.024,,0.829,0.171,,False
2015,0.155,0.222,0.404,0.186,0.033,,0.781,0.219,,False
2014,0.16,0.209,0.406,0.19,0.035,,0.775,0.225,,False
2013,0.153,0.204,0.428,0.188,0.027,,0.785,0.215,,False
2012,0.139,0.209,0.386,0.222,0.044,,0.734,0.266,,False
2011,0.127,0.175,0.417,0.23,0.051,,0.719,0.281,,False
