Year,5,4,3,2,1,Mean,3+,2-,Total # Students,Major Revision
2020,0.125,0.204,0.291,0.262,0.118,,0.62,0.38,,False
2019,0.101,0.185,0.265,0.311,0.138,,0.551,0.449,,False
2018,0.106,0.178,0.29,0.293,0.133,,0.574,0.426,,False
2017,0.091,0.184,0.278,0.307,0.14,,0.553,0.447,,False
2016,0.106,0.175,0.272,0.321,0.126,,0.553,0.447,,False
2015,0.098,0.184,0.273,0.297,0.148,,0.555,0.445,,False
2014,0.095,0.18,0.285,0.301,0.139,,0.56,0.44,,False
2013,0.103,0.161,0.287,0.298,0.151,,0.551,0.449,,False
2012,0.109,0.202,0.289,0.28,0.12,,0.6,0.4,,False
2011,0.111,0.2,0.301,0.275,0.113,,0.612,0.388,,False
