Year,5,4,3,2,1,Mean,3+,2-,Total # Students,Major Revision
2020,0.093,0.173,0.335,0.277,0.122,,0.601,0.399,,False
2019,0.062,0.159,0.28,0.343,0.156,,0.501,0.499,,False
2018,0.056,0.146,0.272,0.361,0.165,,0.474,0.526,,False
2017,0.068,0.161,0.299,0.339,0.133,,0.528,0.472,,False
2016,0.074,0.177,0.295,0.334,0.12,,0.546,0.454,,False
2015,0.076,0.182,0.305,0.326,0.111,,0.563,0.437,,False
2014,0.077,0.178,0.295,0.33,0.12,,0.55,0.45,,False
2013,0.076,0.189,0.316,0.316,0.103,,0.581,0.419,,False
2012,0.083,0.179,0.304,0.323,0.111,,0.566,0.434,,False
2011,0.084,0.178,0.309,0.321,0.108,,0.571,0.429,,False
