Year,5,4,3,2,1,Mean,3+,2-,Total # Students,Major Revision
2020,0.118,0.283,0.13,0.254,0.215,,0.531,0.469,,False
2019,0.095,0.259,0.142,0.255,0.249,,0.496,0.504,,False
2018,0.085,0.239,0.151,0.261,0.264,,0.475,0.525,,False
2017,0.094,0.245,0.155,0.246,0.26,,0.494,0.506,,False
2016,0.074,0.23,0.148,0.26,0.288,,0.452,0.548,,False
2015,0.075,0.241,0.152,0.255,0.277,,0.468,0.532,,False
2014,0.082,0.236,0.154,0.256,0.272,,0.472,0.528,,False
2013,0.077,0.233,0.169,0.256,0.265,,0.479,0.521,,False
2012,0.087,0.249,0.166,0.244,0.254,,0.502,0.498,,False
2011,0.087,0.248,0.156,0.25,0.259,,0.491,0.509,,False
