Year,5,4,3,2,1,Mean,3+,2-,Total # Students,Major Revision
2020,0.232,0.316,0.283,0.124,0.045,,0.831,0.169,,False
2019,0.155,0.251,0.361,0.185,0.048,,0.767,0.233,,False
2018,0.159,0.257,0.353,0.186,0.045,,0.769,0.231,,False
2017,0.168,0.25,0.335,0.197,0.05,,0.753,0.247,,False
2016,0.173,0.265,0.326,0.187,0.049,,0.764,0.236,,False
2015,0.167,0.256,0.336,0.189,0.052,,0.759,0.241,,False
2014,0.183,0.26,0.336,0.172,0.049,,0.779,0.221,,False
2013,0.141,0.251,0.355,0.201,0.052,,0.747,0.253,,False
2012,0.127,0.255,0.355,0.203,0.06,,0.737,0.263,,True
2011,0.124,0.158,0.291,0.209,0.218,,0.573,0.427,,False
