Year,5,4,3,2,1,Mean,3+,2-,Total # Students,Major Revision
2020,0.239,0.338,0.16,0.195,0.067,,0.737,0.262,,False
2019,0.184,0.239,0.282,0.208,0.087,,0.705,0.295,,False
2018,0.19,0.227,0.271,0.233,0.079,,0.688,0.312,,False
2017,0.226,0.245,0.288,0.174,0.067,,0.759,0.241,,False
2016,0.207,0.223,0.271,0.209,0.09,,0.701,0.299,,False
2015,0.241,0.24,0.289,0.168,0.062,,0.77,0.23,,False
2014,0.231,0.23,0.269,0.188,0.082,,0.73,0.27,,False
2013,0.117,0.25,0.349,0.205,0.079,,0.716,0.284,,False
2012,0.122,0.246,0.332,0.201,0.099,,0.7,0.3,,True
2011,0.232,0.199,0.237,0.198,0.134,,0.668,0.332,,False
