Year,5,4,3,2,1,Mean,3+,2-,Total # Students,Major Revision
2020,0.539,0.096,0.201,0.076,0.088,,0.836,0.164,,False
2019,0.382,0.128,0.24,0.092,0.158,,0.75,0.25,,False
2018,0.486,0.093,0.194,0.084,0.143,,0.773,0.227,,False
2017,0.456,0.108,0.208,0.085,0.143,,0.772,0.228,,False
2016,0.529,0.071,0.198,0.062,0.14,,0.798,0.202,,False
2015,0.485,0.088,0.197,0.084,0.146,,0.77,0.23,,False
2014,0.419,0.104,0.226,0.073,0.178,,0.749,0.251,,False
2013,0.189,0.113,0.301,0.118,0.279,,0.603,0.397,,False
2012,0.195,0.109,0.313,0.135,0.248,,0.617,0.383,,False
2011,0.433,0.117,0.216,0.073,0.161,,0.766,0.234,,False
