Year,5,4,3,2,1,Mean,3+,2-,Total # Students,Major Revision
2020,0.195,0.248,0.183,0.162,0.212,,0.626,0.374,,False
2019,0.176,0.229,0.174,0.153,0.269,,0.579,0.422,,False
2018,0.182,0.225,0.167,0.173,0.253,,0.574,0.426,,False
2017,0.164,0.231,0.172,0.162,0.271,,0.567,0.433,,False
2016,0.161,0.234,0.162,0.175,0.268,,0.557,0.443,,False
2015,0.138,0.22,0.173,0.175,0.294,,0.531,0.469,,False
2014,0.151,0.228,0.189,0.179,0.253,,0.568,0.432,,False
2013,0.137,0.226,0.168,0.196,0.273,,0.531,0.469,,False
2012,0.131,0.238,0.182,0.182,0.267,,0.551,0.449,,False
2011,0.121,0.236,0.168,0.187,0.288,,0.525,0.475,,False
