Year,5,4,3,2,1,Mean,3+,2-,Total # Students,Major Revision
2020,0.238,0.189,0.252,0.22,0.101,,0.679,0.321,,False
2019,0.209,0.18,0.245,0.236,0.13,,0.634,0.366,,False
2018,0.225,0.189,0.246,0.224,0.116,,0.66,0.34,,False
2017,0.192,0.172,0.247,0.246,0.143,,0.611,0.389,,False
2016,0.181,0.172,0.242,0.26,0.145,,0.595,0.405,,False
2015,0.192,0.174,0.248,0.247,0.139,,0.614,0.386,,False
2014,0.197,0.177,0.254,0.241,0.131,,0.628,0.372,,False
2013,0.189,0.166,0.256,0.25,0.139,,0.611,0.389,,False
2012,0.193,0.175,0.25,0.25,0.132,,0.618,0.382,,False
2011,0.174,0.175,0.243,0.269,0.139,,0.592,0.408,,False
