Year,5,4,3,2,1,Mean,3+,2-,Total # Students,Major Revision
2020,0.4,0.221,0.115,0.163,0.101,,0.736,0.264,,False
2019,0.346,0.226,0.139,0.178,0.111,,0.711,0.289,,False
2018,0.35,0.231,0.137,0.173,0.109,,0.718,0.282,,False
2017,0.281,0.251,0.156,0.182,0.13,,0.688,0.312,,False
2016,0.32,0.226,0.135,0.193,0.126,,0.681,0.319,,False
2015,0.285,0.249,0.137,0.198,0.131,,0.671,0.329,,False
2014,0.32,0.253,0.131,0.174,0.122,,0.704,0.296,,False
2013,0.286,0.25,0.137,0.199,0.128,,0.673,0.327,,False
2012,0.326,0.24,0.139,0.175,0.12,,0.705,0.295,,False
2011,0.32,0.245,0.14,0.177,0.118,,0.705,0.295,,False
