Year,5,4,3,2,1,Mean,3+,2-,Total # Students,Major Revision
2020,0.409,0.26,0.16,0.095,0.076,,0.829,0.171,,False
2019,0.359,0.272,0.18,0.104,0.084,,0.811,0.188,,False
2018,0.286,0.276,0.205,0.131,0.102,,0.767,0.233,,False
2017,0.347,0.278,0.161,0.13,0.084,,0.786,0.214,,False
2016,0.302,0.274,0.185,0.139,0.1,,0.761,0.239,,False
2015,0.275,0.286,0.207,0.123,0.109,,0.768,0.232,,False
2014,0.308,0.261,0.19,0.133,0.108,,0.759,0.241,,False
2013,0.259,0.26,0.211,0.149,0.121,,0.73,0.27,,False
2012,0.313,0.265,0.189,0.129,0.104,,0.767,0.233,,False
2011,0.265,0.242,0.223,0.142,0.129,,0.73,0.271,,False
