Year,5,4,3,2,1,Mean,3+,2-,Total # Students,Major Revision
2020,0.223,0.253,0.234,0.096,0.194,,0.71,0.29,,False
2019,0.202,0.254,0.188,0.137,0.22,,0.644,0.357,,False
2018,0.211,0.263,0.183,0.145,0.198,,0.657,0.343,,False
2017,0.188,0.252,0.201,0.147,0.212,,0.641,0.359,,False
2016,0.19,0.261,0.191,0.142,0.216,,0.642,0.358,,False
2015,0.201,0.262,0.199,0.131,0.207,,0.662,0.338,,False
2014,0.185,0.271,0.199,0.136,0.209,,0.655,0.345,,False
2013,0.212,0.267,0.196,0.13,0.195,,0.675,0.325,,False
2012,0.205,0.261,0.195,0.136,0.203,,0.661,0.339,,False
2011,0.202,0.263,0.198,0.129,0.208,,0.663,0.337,,False
