Year,5,4,3,2,1,Mean,3+,2-,Total # Students,Major Revision
2020,0.17,0.18,0.377,0.207,0.066,,0.727,0.273,,False
2019,0.091,0.244,0.384,0.219,0.062,,0.719,0.281,,False
2018,0.092,0.241,0.368,0.221,0.078,,0.701,0.299,,False
2017,0.094,0.26,0.379,0.203,0.064,,0.733,0.267,,False
2016,0.087,0.243,0.367,0.226,0.077,,0.697,0.303,,False
2015,0.1,0.25,0.382,0.206,0.062,,0.732,0.268,,False
2014,0.098,0.256,0.391,0.194,0.061,,0.745,0.255,,False
2013,0.109,0.288,0.378,0.178,0.047,,0.775,0.225,,True
2012,0.124,0.199,0.285,0.167,0.225,,0.608,0.392,,False
2011,0.116,0.207,0.29,0.16,0.227,,0.613,0.387,,False
