Year,5,4,3,2,1,Mean,3+,2-,Total # Students,Major Revision
2020,0.153,0.162,0.251,0.218,0.216,,0.566,0.434,,False
2019,0.129,0.124,0.299,0.248,0.2,,0.552,0.448,,False
2018,0.134,0.133,0.265,0.245,0.223,,0.532,0.468,,False
2017,0.112,0.125,0.258,0.247,0.258,,0.495,0.505,,False
2016,0.119,0.2,0.198,0.192,0.291,,0.517,0.483,,False
2015,0.098,0.136,0.247,0.25,0.269,,0.481,0.519,,False
2014,0.119,0.124,0.265,0.246,0.246,,0.508,0.492,,False
2013,0.112,0.143,0.262,0.249,0.234,,0.517,0.483,,False
2012,0.125,0.149,0.248,0.246,0.232,,0.522,0.478,,False
2011,0.126,0.14,0.251,0.243,0.24,,0.517,0.483,,False
