Year,5,4,3,2,1,Mean,3+,2-,Total # Students,Major Revision
2020,0.13,0.192,0.266,0.204,0.21,,0.588,0.414,,False
2019,0.121,0.187,0.235,0.22,0.237,,0.543,0.457,,False
2018,0.104,0.182,0.225,0.231,0.258,,0.511,0.489,,False
2017,0.109,0.179,0.226,0.235,0.251,,0.514,0.486,,False
2016,0.117,0.179,0.225,0.234,0.245,,0.521,0.479,,False
2015,0.093,0.178,0.236,0.25,0.243,,0.507,0.493,,True
2014,0.11,0.213,0.202,0.279,0.196,,0.525,0.475,,False
2013,0.106,0.215,0.218,0.272,0.189,,0.539,0.461,,False
2012,0.118,0.214,0.217,0.265,0.186,,0.549,0.451,,False
2011,0.11,0.208,0.21,0.267,0.205,,0.528,0.472,,False
