Year,5,4,3,2,1,Mean,3+,2-,Total # Students,Major Revision
2020,0.092,0.228,0.282,0.261,0.137,,0.602,0.398,,True
2019,0.087,0.19,0.283,0.289,0.151,,0.56,0.44,,False
2018,0.087,0.198,0.277,0.287,0.151,,0.562,0.438,,False
2017,0.085,0.201,0.27,0.295,0.149,,0.556,0.444,,True
2016,0.065,0.155,0.292,0.289,0.199,,0.512,0.488,,False
2015,0.064,0.14,0.313,0.301,0.182,,0.517,0.483,,False
2014,0.064,0.158,0.317,0.279,0.182,,0.539,0.461,,False
2013,0.057,0.135,0.294,0.304,0.21,,0.486,0.514,,False
2012,0.069,0.157,0.304,0.296,0.175,,0.53,0.471,,True
2011,0.094,0.16,0.231,0.257,0.258,,0.485,0.515,,False
